,id,breed
0,distribute_40,distribute
1,distribute_41,distribute
2,distribute_42,distribute
3,distribute_43,distribute
4,distribute_44,distribute
5,distribute_45,distribute
6,distribute_46,distribute
7,distribute_47,distribute
8,distribute_48,distribute
9,distribute_49,distribute
10,distribute_50,distribute
11,distribute_51,distribute
12,distribute_52,distribute
13,distribute_53,distribute
14,distribute_54,distribute
15,distribute_55,distribute
16,distribute_56,distribute
17,distribute_57,distribute
18,distribute_58,distribute
19,distribute_59,distribute
20,distribute_60,distribute
21,distribute_61,distribute
22,distribute_62,distribute
23,distribute_63,distribute
24,distribute_64,distribute
25,distribute_65,distribute
26,distribute_66,distribute
27,distribute_67,distribute
28,distribute_68,distribute
29,distribute_69,distribute
30,distribute_70,distribute
31,distribute_71,distribute
32,distribute_72,distribute
33,distribute_73,distribute
34,distribute_74,distribute
35,distribute_75,distribute
36,distribute_76,distribute
37,distribute_77,distribute
38,distribute_78,distribute
39,distribute_79,distribute
40,distribute_80,distribute
41,distribute_81,distribute
42,distribute_82,distribute
43,distribute_83,distribute
44,distribute_84,distribute
45,distribute_85,distribute
46,distribute_86,distribute
47,distribute_87,distribute
48,distribute_88,distribute
49,distribute_89,distribute
50,distribute_90,distribute
51,distribute_91,distribute
52,distribute_92,distribute
53,distribute_93,distribute
54,distribute_94,distribute
55,distribute_95,distribute
56,distribute_96,distribute
57,distribute_97,distribute
58,distribute_98,distribute
59,distribute_99,distribute
60,distribute_100,distribute
61,distribute_101,distribute
62,distribute_102,distribute
63,distribute_103,distribute
64,distribute_104,distribute
65,distribute_105,distribute
66,distribute_106,distribute
67,distribute_107,distribute
68,distribute_108,distribute
69,distribute_109,distribute
70,distribute_110,distribute
71,distribute_111,distribute
72,distribute_112,distribute
73,distribute_113,distribute
74,distribute_114,distribute
75,distribute_115,distribute
76,distribute_116,distribute
77,distribute_117,distribute
78,distribute_118,distribute
79,distribute_119,distribute
80,distribute_120,distribute
81,distribute_121,distribute
82,distribute_122,distribute
83,distribute_123,distribute
84,distribute_124,distribute
85,distribute_125,distribute
86,distribute_126,distribute
87,distribute_127,distribute
88,distribute_128,distribute
89,distribute_129,distribute
90,distribute_130,distribute
91,distribute_131,distribute
92,distribute_132,distribute
93,distribute_133,distribute
94,distribute_134,distribute
95,distribute_135,distribute
96,distribute_136,distribute
97,distribute_137,distribute
98,distribute_138,distribute
99,distribute_139,distribute
